,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Account Holder Category
34,31,5.0,50,4,1.8,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
35,48,24.0,81,3,0.7,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
36,59,35.0,121,1,2.9,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
37,51,25.0,71,1,1.4,Professional,198,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
38,42,18.0,141,3,5.0,Professional,0,Yes,Yes,Yes,Yes,No,Holds Both Security & Deposit Account
39,38,13.0,80,4,0.7,Professional,285,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
40,57,32.0,84,3,1.6,Professional,0,No,Yes,No,No,No,Holds Only Security Account
41,34,9.0,60,3,2.3,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
42,32,7.0,132,4,1.1,Graduate,412,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
43,39,15.0,45,1,0.7,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
44,46,20.0,104,1,5.7,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
45,57,31.0,52,4,2.5,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
46,39,14.0,43,3,0.7,Graduate,153,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
47,37,12.0,194,4,0.2,Professional,211,Yes,Yes,Yes,Yes,Yes,Holds Both Security & Deposit Account
48,56,26.0,81,2,4.5,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
49,40,16.0,49,1,1.8,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
50,32,8.0,8,4,0.7,Graduate,0,No,Yes,No,Yes,No,Holds Only Security Account
51,61,37.0,131,1,2.9,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
52,30,6.0,72,1,0.1,Undergraduate,207,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
53,50,26.0,190,3,2.1,Professional,240,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
54,29,5.0,44,1,0.2,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
55,41,17.0,139,2,8.0,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
56,55,30.0,29,3,0.1,Graduate,0,No,Yes,Yes,Yes,No,Holds Both Security & Deposit Account
57,56,31.0,131,2,1.2,Professional,0,Yes,No,No,No,No,Does Not Hold Both Security & Deposit Account
58,28,2.0,93,2,0.2,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
59,31,5.0,188,2,4.5,Undergraduate,455,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
60,49,24.0,39,3,1.7,Graduate,0,No,Yes,No,Yes,No,Holds Only Security Account
61,47,21.0,125,1,5.7,Undergraduate,112,No,Yes,No,No,No,Holds Only Security Account
62,42,18.0,22,1,1.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
63,42,17.0,32,4,0.0,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
64,47,23.0,105,2,3.3,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
65,59,35.0,131,1,3.8,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
66,62,36.0,105,2,2.8,Undergraduate,336,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
67,53,23.0,45,4,2.0,Professional,132,No,Yes,No,No,No,Holds Only Security Account
68,47,21.0,60,3,2.1,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
69,53,29.0,20,4,0.2,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
70,42,18.0,115,1,3.5,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
71,53,29.0,69,4,1.0,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
72,44,20.0,130,1,5.0,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
73,41,16.0,85,1,4.0,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
74,28,3.0,135,2,3.3,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
75,31,7.0,135,4,3.8,Graduate,0,Yes,No,Yes,Yes,Yes,Holds Only Deposit Account
76,58,32.0,12,3,0.3,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
77,46,20.0,29,3,0.5,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
78,54,30.0,133,2,2.6,Professional,0,Yes,No,No,No,No,Does Not Hold Both Security & Deposit Account
79,50,26.0,19,2,0.4,Undergraduate,118,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
80,60,36.0,41,4,1.3,Undergraduate,174,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
81,47,22.0,40,3,2.7,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
82,41,16.0,82,1,4.0,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
83,33,9.0,50,1,2.4,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
84,46,22.0,18,1,0.9,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
85,27,2.0,109,4,1.8,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
86,40,16.0,42,4,2.2,Graduate,126,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
87,48,22.0,78,3,1.1,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
88,65,41.0,51,2,1.1,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
89,25,20.1046,113,4,2.3,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
90,55,30.0,118,4,5.6,Graduate,0,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
91,35,10.0,29,4,1.1,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
92,43,19.0,34,3,0.6,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
93,60,34.0,64,2,1.7,Professional,236,No,Yes,No,Yes,No,Holds Only Security Account
94,65,39.0,121,1,2.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
95,38,12.0,48,4,0.2,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
96,41,15.0,80,1,5.2,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
97,54,28.0,161,1,2.9,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
98,49,23.0,94,1,0.3,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
99,66,41.0,15,3,0.1,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
100,48,23.0,74,1,1.2,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
101,61,36.0,30,3,1.3,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
102,53,23.0,44,3,1.0,Professional,198,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
103,43,18.0,22,2,0.3,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
104,56,32.0,38,4,1.3,Undergraduate,166,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
105,24,0.0,35,3,0.1,Graduate,0,No,Yes,No,Yes,No,Holds Only Security Account
106,43,17.0,69,4,2.9,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
107,42,18.0,43,1,0.7,Undergraduate,136,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
108,33,7.0,32,1,0.6,Professional,166,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
109,43,17.0,49,1,2.8,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
110,41,14.0,9,3,1.0,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
111,62,38.0,45,4,1.3,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
112,40,15.0,82,3,1.0,Undergraduate,309,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
113,58,34.0,92,2,2.8,Undergraduate,103,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
114,39,14.0,39,3,0.5,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
115,65,40.0,81,3,1.8,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
116,54,29.0,35,1,1.5,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
117,58,33.0,61,2,2.3,Professional,193,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
118,41,16.0,73,3,3.0,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
119,32,7.0,112,1,4.6,Undergraduate,366,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
120,54,29.0,12,2,0.2,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
121,52,26.0,38,3,0.9,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
122,58,32.0,73,2,0.7,Graduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
123,37,13.0,84,1,3.6,Graduate,0,No,Yes,No,No,No,Holds Only Security Account
124,39,15.0,78,4,2.4,Undergraduate,118,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
125,60,35.0,80,3,0.5,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
126,31,5.0,115,2,1.3,Undergraduate,101,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
127,34,8.0,82,1,2.7,Graduate,251,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
128,38,14.0,74,2,0.0,Undergraduate,0,No,Yes,No,Yes,No,Holds Only Security Account
129,41,16.0,70,3,0.5,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
130,28,4.0,81,3,1.5,Undergraduate,276,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
131,58,34.0,149,4,7.2,Graduate,0,Yes,No,Yes,Yes,Yes,Holds Only Deposit Account
132,31,1.0,51,2,1.75,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
133,30,4.0,39,3,1.1,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
134,53,29.0,98,3,1.8,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
135,58,33.0,45,4,2.1,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
136,59,32.0,49,4,2.5,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
137,49,25.0,128,2,0.4,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
138,59,34.0,42,3,1.5,Undergraduate,0,No,Yes,Yes,No,Yes,Holds Both Security & Deposit Account
139,59,35.0,18,1,1.2,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
140,51,25.0,31,2,0.4,Professional,161,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
141,35,11.0,58,3,2.0,Undergraduate,149,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
142,33,9.0,48,1,2.1,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
143,25,1.0,54,4,1.6,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
144,49,23.0,70,2,1.5,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
145,59,35.0,124,1,7.4,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
146,46,19.0,84,1,2.66666666666667,Graduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
147,50,25.0,83,4,3.6,Professional,188,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
148,52,28.0,163,2,0.4,Undergraduate,116,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
149,48,22.0,42,3,2.2,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
150,46,22.0,118,2,7.5,Undergraduate,0,No,No,Yes,Yes,Yes,Holds Only Deposit Account
151,26,0.0,132,3,6.5,Professional,0,Yes,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
152,57,32.0,24,1,1.3,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
153,60,36.0,22,2,1.0,Undergraduate,0,No,Yes,Yes,Yes,Yes,Holds Both Security & Deposit Account
154,54,29.0,58,4,1.3,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
155,24,0.0,60,4,1.6,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
156,26,0.0,15,4,0.4,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
157,41,17.0,83,4,2.66666666666667,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
158,32,6.0,79,2,1.5,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
159,61,35.0,41,4,1.7,Graduate,0,No,Yes,No,Yes,No,Holds Only Security Account
160,29,0.0,134,4,6.5,Professional,0,Yes,No,No,No,No,Does Not Hold Both Security & Deposit Account
161,61,35.0,80,2,2.8,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
162,38,12.0,52,1,2.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
163,28,4.0,70,4,2.6,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
164,53,27.0,92,2,1.1,Undergraduate,0,No,Yes,No,No,No,Holds Only Security Account
165,27,1.0,43,1,1.5,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
166,25,1.0,21,3,1.0,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
167,33,9.0,23,3,0.9,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
168,50,26.0,13,4,1.0,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
169,27,1.0,112,4,2.1,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
170,27,1.0,138,2,2.0,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
171,52,28.0,11,3,0.4,Undergraduate,0,No,Yes,No,No,No,Holds Only Security Account
172,38,13.0,171,2,7.8,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
173,58,34.0,42,4,1.5,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
174,42,17.0,168,2,7.9,Graduate,0,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
175,45,20.0,85,4,1.1,Graduate,0,No,Yes,No,Yes,No,Holds Only Security Account
176,52,25.0,44,3,1.0,Graduate,135,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
177,29,3.0,65,4,1.8,Graduate,244,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
178,53,29.0,24,4,0.2,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
179,62,37.0,11,1,0.1,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
180,51,27.0,38,2,1.0,Professional,164,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
181,36,12.0,10,4,0.7,Graduate,81,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
182,24,0.0,135,1,1.5,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
183,29,3.0,148,3,4.1,Undergraduate,0,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
184,52,26.0,63,2,1.5,Graduate,0,No,Yes,No,Yes,No,Holds Only Security Account
185,39,14.0,115,1,1.0,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
186,48,23.0,45,1,0.3,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
187,46,21.0,159,3,1.9,Professional,315,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
188,64,40.0,169,2,2.1,Undergraduate,122,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
189,55,29.0,112,2,1.4,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
190,60,36.0,93,1,4.3,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
191,51,25.0,29,1,0.3,Professional,140,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
192,50,23.0,85,1,2.66666666666667,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
193,48,24.0,21,4,0.6,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
194,53,29.0,144,2,6.8,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
195,34,10.0,13,4,1.0,Undergraduate,95,No,Yes,No,Yes,No,Holds Only Security Account
196,48,24.0,165,1,5.0,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
197,55,31.0,9,4,0.7,Undergraduate,89,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
198,27,3.0,59,4,0.0,Undergraduate,90,No,Yes,No,Yes,No,Holds Only Security Account
199,36,11.0,158,1,5.1,Professional,0,Yes,No,Yes,Yes,Yes,Holds Only Deposit Account
200,32,6.0,29,1,1.9,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
201,35,9.0,20,2,1.4,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
202,30,3.0,68,4,2.0,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
203,58,34.0,65,4,2.2,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
204,56,31.0,61,2,1.9,Graduate,105,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
205,38,12.0,91,4,1.4,Graduate,100,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
206,49,25.0,31,1,1.0,Undergraduate,0,No,Yes,No,Yes,No,Holds Only Security Account
207,34,10.0,71,4,0.1,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
208,40,16.0,73,4,2.66666666666667,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
209,64,39.0,172,4,3.1,Undergraduate,282,Yes,No,Yes,Yes,Yes,Holds Only Deposit Account
210,51,26.0,20,2,0.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
211,44,18.0,55,1,0.2,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
212,46,22.0,69,2,1.7,Undergraduate,209,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
213,57,33.0,155,1,7.4,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
214,54,28.0,94,1,1.9,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
215,38,14.0,92,2,0.0,Undergraduate,249,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
216,27,3.0,125,2,0.6,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
217,39,14.0,74,3,3.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
218,44,20.0,72,3,0.3,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
219,56,30.0,61,1,2.2,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
220,32,6.0,25,2,0.3,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
221,45,19.0,83,2,1.7,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
222,26,2.0,104,3,2.5,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
223,55,25.0,41,3,1.0,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
224,52,27.0,58,4,1.8,Professional,91,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
225,39,13.0,93,1,1.5,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
226,24,20.1046,39,2,1.7,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
227,47,23.0,148,2,7.5,Undergraduate,0,No,No,Yes,Yes,Yes,Holds Only Deposit Account
228,47,22.0,53,4,1.9,Professional,98,No,Yes,Yes,No,Yes,Holds Both Security & Deposit Account
229,48,24.0,71,2,1.7,Undergraduate,145,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
230,47,22.0,92,1,2.8,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
231,35,10.0,61,4,2.1,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
232,46,19.0,38,3,2.5,Graduate,135,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
233,62,37.0,58,4,1.7,Undergraduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
234,26,1.0,80,1,0.8,Graduate,150,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
235,38,8.0,71,4,1.8,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
236,43,18.0,89,3,0.5,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
237,62,38.0,83,1,1.8,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
238,57,32.0,28,3,0.2,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
239,28,3.0,52,4,1.7,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
240,51,26.0,70,1,1.2,Undergraduate,169,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
241,48,22.0,71,1,1.4,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
242,41,16.0,75,1,3.7,Professional,280,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
243,65,39.0,170,3,7.9,Professional,99,Yes,No,Yes,Yes,No,Holds Only Deposit Account
244,41,17.0,78,4,0.8,Undergraduate,78,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
245,35,11.0,25,2,1.0,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
246,38,14.0,60,2,0.6,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
247,53,29.0,120,4,2.7,Graduate,111,Yes,Yes,Yes,Yes,No,Holds Both Security & Deposit Account
248,55,29.0,99,2,1.4,Undergraduate,264,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
249,26,1.0,55,3,2.6,Professional,113,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
250,30,6.0,29,3,1.0,Graduate,117,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
251,54,28.0,170,2,6.2,Graduate,325,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
252,65,40.0,53,3,2.2,Undergraduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
253,47,21.0,138,1,0.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
254,65,41.0,134,3,3.9,Professional,121,Yes,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
255,66,40.0,42,2,0.7,Professional,138,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
256,26,0.0,99,4,2.3,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
